Название,Жанр,Режиссер,Страна,Год,qw
Ссыльный № 011,биография драма,Лаэрт Вагаршян,СССР,1979,1
Срывая звёзды,драма,Ник Кассаветис,"США, Франция",1996,1
Срочно… Секретно… Губчека,боевик,Александр Косарев,СССР,1982,1
Срочно требуется песня,документальный,Станислав Чаплин,СССР,1967,1
Срок (фильм),документальный фильм,"Павел Костомаров, Александр Расторгуев, Алексей Пивоваров","Россия, Эстония",2014,1
"Срок (фильм, 2012)","триллер, драма",Ульф Квенслер,Швеция,2012,1
Срочно выйду замуж (фильм),"комедия, мелодрама",Сергей Чекалов,Россия,2015,1
Средь шумного бала (фильм),"драма, биографический, музыкальный фильм",Карл Фрёлих,Германский рейх,1939,1
Средь бела дня…,драма,Валерий Гурьянов,СССР,1982,1
Средний человек (фильм),"Чёрная комедия, криминальное кино, триллер, драма",Нед Кроули,США,2016,1
Средневековье (фильм),"исторический фильм, военный фильм",Петр Якл,Чехия,2022,1
Срочная доставка,"криминал, триллер",Дэвид Кепп,США,2012,1
Срок времени,драматический фильм,Лилиана Кавани,Италия,2023,1
Средь бела дня,"боевик, триллер",Мабру Эль Мекри,США,2012,1
